103.87;
104.0;
112.56;
109.76;
114.54;
113.91;
110.45;
107.95;
113.3;
111.47;
113.6;
116.36;
113.16;
127.17;
112.85;
110.82;
111.08;
116.15;
117.36;
114.95;
116.73;
117.31;
97.75;
103.92;
109.2;
106.22;
109.95;
107.38;
106.65;
122.67;
107.61;
104.32;
111.69;
106.32;
110.22;
103.75;
106.61;
99.92;
102.74;
108.26;
101.77;
100.22;
99.54;
106.19;
102.64;
110.39;
102.18;
105.17;
110.59;
97.94;
91.8;
99.13;
106.06;
99.17;
98.12;
98.86;
102.34;
94.15;
102.74;
107.39;
102.3;
106.52;
94.53;
104.38;
99.9;
98.99;
111.26;
107.08;
97.96;
103.42;
105.01;
101.98;
101.07;
94.19;
110.83;
104.6;
106.51;
109.35;
105.18;
108.43;
102.77;
103.05;
94.91;
101.26;
92.02;
94.32;
95.26;
88.01;
88.44;
95.38;
86.79;
84.7;
88.36;
87.58;
95.38;
84.99;
89.44;
102.78;
88.05;
90.64;
89.61;
78.94;
85.9;
79.04;
84.54;
81.95;
78.8;
85.54;
81.18;
83.47;
73.08;
77.91;
81.32;
77.29;
77.29;
82.47;
83.61;
89.08;
75.02;
77.45;
90.83;
77.5;
87.05;
85.79;
81.75;
79.4;
76.52;
84.35;
76.48;
68.6;
80.17;
75.26;
80.06;
97.09;
81.15;
82.57;
80.84;
85.77;
83.82;
75.96;
76.35;
82.49;
81.98;
84.25;
71.96;
84.8;
76.83;
75.61;
76.05;
82.84;
85.88;
83.58;
81.71;
72.62;
78.49;
78.73;
78.68;
75.85;
71.72;
78.79;
87.73;
68.24;
79.82;
75.58;
83.58;
76.67;
77.2;
75.82;
74.85;
71.38;
77.3;
69.27;
71.7;
71.35;
70.29;
66.43;
70.21;
66.12;
60.15;
64.7;
60.2;
64.27;
65.48;
64.61;
61.84;
59.46;
54.82;
60.01;
52.13;
58.11;
56.86;
56.26;
59.2;
62.09;
55.8;
58.6;
58.58;
56.11;
56.47;
50.87;
59.18;
63.8;
61.16;
54.83;
61.26;
54.26;
58.07;
55.5;
56.32;
59.15;
52.98;
59.43;
56.82;
68.45;
63.17;
68.73;
62.17;
67.36;
63.44;
69.06;
66.56;
65.63;
66.8;
63.82;
66.16;
62.17;
72.02;
66.33;
67.88;
62.25;
64.95;
62.33;
61.32;
62.35;
68.54;
61.07;
64.28;
60.9;
64.85;
63.1;
60.4;
53.65;
65.46;
64.58;
64.75;
61.48;
64.98;
65.6;
58.82;
70.79;
61.84;
62.86;
56.08;
62.63;
62.53;
57.0;
68.08;
58.26;
59.24;
62.3;
59.1;
60.65;
49.43;
60.49;
65.2;
52.98;
58.65;
62.09;
62.68;
62.28;
60.19;
59.18;
57.92;
52.95;
55.03;
49.74;
53.8;
52.13;
51.73;
51.13;
48.31;
51.34;
49.3;
49.64;
55.18;
49.17;
44.41;
46.53;
49.0;
46.71;
44.54;
45.24;
45.54;
43.95;
47.82;
44.68;
46.22;
48.69;
48.57;
50.0;
43.88;
41.12;
42.92;
43.07;
44.15;
44.99;
42.12;
43.6;
43.58;
46.53;
45.37;
46.92;
44.3;
42.95;
45.15;
46.78;
46.79;
52.7;
48.29;
44.96;
49.32;
47.11;
47.55;
48.97;
48.89;
50.91;
52.11;
52.03;
50.04;
52.51;
51.91;
51.55;
53.39;
52.33;
53.63;
54.2;
53.32;
54.64;
56.87;
53.33;
56.67;
54.4;
54.18;
57.38;
52.99;
55.29;
59.67;
57.88;
59.38;
61.36;
58.74;
59.88;
59.63;
59.38;
60.27;
59.49;
57.93;
59.32;
56.88;
58.62;
60.79;
